target,message,message_len,message_clean,target_encoded
ham,Anything lor... U decide...,4,anyth lor decid,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,30,hello saturday go text see youd decid anyth tomo tri invit anyth,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,17,pls go ahead watt want sure great weekend abiola,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",34,forget tell want need crave love sweet arabian steed mmmmmm yummi,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,33,rodger burn msg tri call repli sms free nokia mobil free camcord plea call deliveri tomorrow,1
ham,WHO ARE YOU SEEING?,4,see,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,15,great hope like man well endow ltgt inch,0
ham,No calls..messages..missed calls,3,callsmessagesmiss call,0
ham,Didn't you get hep b immunisation in nigeria.,8,didnt get hep b immuni nigeria,0
ham,"Fair enough, anything going on?",5,fair enough anyth go,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",14,yeah hope tyler cant could mayb ask around bit,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,30,dont know stubborn didnt even want go hospit kept tell mark weak sucker hospit weak sucker,0
ham,What you thinked about me. First time you saw me in class.,12,think first time saw class,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",25,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,16,k fyi x ride ear tomorrow morn hes crash place tonight,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",55,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri didnt dont give sorri offer sorri room embarass,0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,22,sms ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,1
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,14,know mallika sherawat yesterday find lturlgt,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",28,congrat year special cinema pass call suprman v etc free dont miss,1
ham,"Sorry, I'll call later in meeting.",6,sorri ill call later meet,0
ham,Tell where you reached,4,tell reach,0
ham,Yes..gauti and sehwag out of odi series.,7,yesgauti sehwag odi seri,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,23,gonna pick burger way home cant even move pain kill,0
ham,Ha ha ha good joke. Girls are situation seekers.,9,ha ha ha good joke girl situat seeker,0
ham,Its a part of checking IQ,6,part check iq,0
ham,"Sorry my roommates took forever, it ok if I come by now?",12,sorri roommat took forev ok come,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,24,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",28,valu custom plea advi follow recent review mob award å£ bonus prize call,1
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",23,today song dedic day song dedic send ur valuabl frnds first rpli,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",22,urgent ur award complimentari trip eurodisinc trav å£ claim txt dis £,1
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",15,hear new divorc barbi come ken stuff,1
ham,I plane to give on this month end.,8,plane give month end,0
ham,Wah lucky man... Then can save money... Hee...,8,wah lucki man save money hee,0
ham,Finished class where are you.,5,finish class,0
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,10,hi babe home wanna someth xx,0
ham,K..k:)where are you?how did you performed?,6,kkwhere youhow perform,0
ham,U can call me now...,5,call,0
ham,I am waiting machan. Call me once you free.,9,wait machan call free,0
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,14,cool gentleman treat digniti respect,0
ham,I like you peoples very much:) but am very shy pa.,11,like peopl much shi pa,0
ham,Does not operate after  &lt;#&gt;  or what,9,oper ltgt,0
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,16,still look job much tas earn,0
ham,"Sorry, I'll call later",4,sorri ill call later,0
ham,K. Did you call me just now ah? ,9,k call ah,0
ham,Ok i am on the way to home hi hi,10,ok way home hi hi,0
ham,You will be in the place of that man,9,place man,0
ham,Yup next stop.,3,yup next stop,0
ham,"I call you later, don't have network. If urgnt, sms me.",11,call later dont network urgnt sms,0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,26,real get yo need ticket one jacket done alreadi use multi,0
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,31,yes start send request make pain came back back bed doubl coin factori gotta cash nitro,0
ham,I'm really not up to it still tonight babe,9,realli still tonight babe,0
ham,"Ela kano.,il download, come wen ur free..",7,ela kanoil download come wen ur free,0
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,10,yeah donû÷t stand close tho youû÷ll catch someth,0
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,40,sorri pain ok meet anoth night spent late afternoon casualti mean havent done includ time sheet sorri,0
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,26,smile pleasur smile pain smile troubl pour like rain smile hurt smile becoz someon still love see smile,0
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,23,plea call custom servic repr guarant å£ cash å£ prize,1
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,20,havent plan buy later check alreadi lido got show e afternoon finish work alreadi,0
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",22,free rington wait collect simpli text password mix verifi get usher britney fml,1
ham,Watching telugu movie..wat abt u?,5,watch telugu moviewat abt,0
ham,i see. When we finish we have loads of loans to pay,12,see finish load loan pay,0
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",38,"hi wk ok hol yes bit run forgot hairdress appoint four need get home n shower beforehand caus prob uham",0
ham,Please don't text me anymore. I have nothing else to say.,11,plea dont text anymor noth el say,0
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,21,okay name ur price long legal wen pick ave x xx,0
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,16,still look car buy gone drive test yet,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",36,wow right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,0
ham,Umma my life and vava umma love you lot dear,10,umma life vava umma love lot dear,0
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,17,thank lot wish birthday thank make birthday truli memor,0
ham,"Aight, I'll hit you up when I get some cash",10,aight ill hit get cash,0
ham,How would my ip address test that considering my computer isn't a minecraft server,14,would ip address test consid comput isnt minecraft server,0
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,24,know grumpi old peopl mom like better lie alway one play joke,0
ham,Dont worry. I guess he's busy.,6,dont worri guess hes busi,0
ham,What is the plural of the noun research?,8,plural noun research,0
ham,Going for dinner.msg you after.,5,go dinnermsg,0
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,24,ok wif cos like tri new thing scare dun like mah cos said loud,0
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,27,gent tri contact last weekend draw show å£ prize guarant call claim code valid,1
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",24,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weighthaha anythin special happen,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",32,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went,0
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,28,winner special select receiv å£ holiday flight inc speak live oper claim,1
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,13,goodo yes must speak friday eggpotato ratio tortilla need,0
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,15,hmmmi uncl inform hes pay school direct pls buy food,0
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,20,privat account statement show unredeem bonus point claim call identifi code expir,1
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",26,urgent mobil award å£ bonus caller prize final tri contact call landlin,1
ham,here is my new address -apples&pairs&all that malarky,8,new address applespairs malarki,0
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,27,today voda number end select receiv award match plea call quot claim code standard rate app,1
ham,I am going to sao mu today. Will be done only at 12 ,14,go sao mu today done,0
ham,ÌÏ predict wat time Ì_'ll finish buying?,7,ìï predict wat time ìll finish buy,0
ham,"Good stuff, will do.",4,good stuff,0
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",46,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impo anyth first place apolog,0
ham,Are you there in room.,5,room,0
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,27,hey girl r hope r well del r bak long time give call sum time lucyxx,0
ham,K..k:)how much does it cost?,5,kkhow much cost,0
ham,I'm home.,2,home,0
ham,"Dear, will call Tmorrow.pls accomodate.",5,dear call tmorrowpl accomod,0
ham,First answer my question.,4,first answer question,0
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,25,sunshin quiz wkli q win top soni dvd player know countri algarv txt ansr å£ sptyron,1
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,28,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt,1
ham,I only haf msn. It's yijue@hotmail.com,6,haf msn yijuehotmailcom,0
ham,He is there. You call and meet him,8,call meet,0
ham,No no. I will check all rooms befor activities,9,check room befor activ,0
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,32,youll rcv msgs chat svc free hardcor servic text go get noth must age verifi yr network tri,1
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,20,got lazi type forgot ì lect saw pouch like v nice,0
ham,"K, text me when you're on the way",8,k text way,0
ham,"Sir, Waiting for your mail.",5,sir wait mail,0
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",26,swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud,0
ham,I know you are. Can you pls open the back?,10,know pls open back,0
ham,Yes see ya not on the dot,7,yes see ya dot,0
ham,Whats the staff name who is taking class for us?,10,staff name take class us,0
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",29,freemsg havent repli text randi sexi femal live local luv hear netcollex ltd per msg repli stop end,1
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,15,ummmawil call check inour life begin qatar pls pray hard,0
ham,K..i deleted my contact that why?,6,ki delet contact,0
ham,Sindu got job in birla soft ..,7,sindu got job birla soft,0
ham,The wine is flowing and i'm i have nevering..,9,wine flow never,0
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,15,yup thk cine better cos need go plaza mah,0
ham,Ok... Ur typical reply...,4,ok ur typic repli,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",80,everywh dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one,0
ham,Aaooooright are you at work?,5,aaooooright work,0
ham,I'm leaving my house now...,5,leav hous,0
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",33,hello love get interview today happi good boy think mear miss,0
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,19,custom servic annonc new year deliveri wait plea call arrang deliveri,1
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,27,winner special select receiv å£ cash holiday flight inc speak live oper claim,1
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,24,keep safe need miss alreadi envi everyon see real life,0
ham,New car and house for my parents.:)i have only new job in hand:),13,new car hous parentsi new job hand,0
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,19,love excit day spend make happi,0
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,24,pls stop bootyd invit friend repli see stop send stop frnd,1
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",30,bangbab ur order way receiv servic msg download ur content goto wap bangb tv ur mobil internetserv menu,1
ham,I place all ur points on e cultures module already.,10,place ur point e cultur modul alreadi,0
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,27,urgent tri contact last weekend draw show å£ prize guarant call claim code valid,1
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",13,hi frnd best way avoid missunderstd wit belov one,0
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,14,great escap fanci bridg need lager see tomo,0
ham,Yes :)it completely in out of form:)clark also utter waste.,10,yes complet formclark also utter wast,0
ham,"Sir, I need AXIS BANK account no and bank address.",10,sir need axi bank account bank address,0
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",21,hmmm thk sure got time hop ard ya go free abt muz call discuss liao,0
ham,What time you coming down later? ,7,time come later,0
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",22,bloodi hell cant believ forgot surnam mr ill give clue spanish begin,0
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",11,well gonna finish bath goodfin night,0
ham,Let me know when you've got the money so carlos can make the call,14,let know youv got money carlo make call,0
ham,U still going to the mall?,6,still go mall,0
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",31,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth,0
ham,Text her. If she doesnt reply let me know so i can have her log in,16,text doesnt repli let know log,0
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,25,hi spoke maneesha v wed like know satisfi experi repli toll free yes,0
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,31,lift hope offer money need especi end month approach hurt studi anyway weekend,0
ham,Lol no. U can trust me.,6,lol trust,0
ham,ok. I am a gentleman and will treat you with dignity and respect.,13,ok gentleman treat digniti respect,0
ham,"He will, you guys close?",5,guy close,0
ham,Going on nothing great.bye,4,go noth greatbi,0
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,32,hello handsom find job lazi work toward get back net mummi boytoy miss,0
ham,"Haha awesome, be there in a minute",7,haha awesom minut,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,24,plea call custom servic repr freephon guarant å£ cash å£ prize,1
ham,Have you got Xmas radio times. If not i will get it now,13,got xmas radio time get,0
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,19,jus reach home go bath first sis use net tell finish k,0
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,10,uniqu enough find august,1
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,38,sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week,0
ham,Hi :)finally i completed the course:),6,hi final complet cour,0
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,22,stop howev suggest stay someon abl give everi stool,0
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,19,hope youv settl new school year wishin day,0
ham,Gud mrng dear hav a nice day,7,gud mrng dear hav nice day,0
ham,Did u got that persons story,6,got person stori,0
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,15,hamster dead hey tmr meet orchard mrt,0
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,30,hi kate even hope see tomorrow bit bloodi babyjontet txt back xxx,0
ham,"Found it, ENC  &lt;#&gt; , where you at?",9,found enc ltgt,0
ham,I sent you  &lt;#&gt;  bucks,7,sent ltgt buck,0
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,18,hello darlin ive finish colleg txt finish love kate xxx,0
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,28,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt,0
ham,Goodmorning sleeping ga.,3,goodmorn sleep ga,0
ham,U call me alter at 11 ok.,7,call alter ok,0
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,13,ìï say like dat dun buy ericsson oso cannot oredi lar,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",32,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went,0
ham,"Aight yo, dats straight dogg",5,aight yo dat straight dogg,0
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,15,plea give us connect today ltdecimalgt refund bill,0
ham,Both :) i shoot big loads so get ready!,9,shoot big load get readi,0
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",14,bruv hope great break reward semest,0
ham,Home so we can always chat,6,home alway chat,0
ham,K:)k:)good:)study well.,2,kkgoodstudi well,0
ham,Yup... How Ì_ noe leh...,5,yup ì noe leh,0
ham,Sounds great! Are you home now?,6,sound great home,0
ham,Finally the match heading towards draw as your prediction.,9,final match head toward draw predict,0
ham,Tired. I haven't slept well the past few nights.,9,tire havent slept well past night,0
ham,Easy ah?sen got selected means its good..,7,easi ahsen got select mean good,0
ham,I have to take exam with march 3,8,take exam march,0
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,35,yeah think use gt atm regist sure anyway help let know sure readi,0
ham,Ok no prob. Take ur time.,6,ok prob take ur time,0
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,30,os call ubandu run without instal hard diskyou use os copi import file system give repair shop,0
ham,"Sorry, I'll call later",4,sorri ill call later,0
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,26,say leh cour noth happen lar say v romant jus bit lor thk e nite sceneri nice leh,0
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",21,new mobil must go txt nokia collect todayfrom å£,1
ham,Would really appreciate if you call me. Just need someone to talk to.,13,would realli appreci call need someon talk,0
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",30,meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari,1
ham,Hey company elama po mudyadhu.,5,hey compani elama po mudyadhu,0
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",27,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,0
ham,Dear good morning now only i am up,8,dear good morn,0
